lake,date,air_temp_c,specific_humidity,surface_pressure_pa,wind_speed_ms,shortwave_wm2,longwave_wm2,cape_jkg,precip_kg_m2,hours
Greenwood Lake,2019-10-07,18.356248474121116,0.01159651686126987,99004.20247395833,6.878677272242324,66.59741934140523,391.7420768737793,29.093334837506216,0.015199999790638685,24
Greenwood Lake,2019-10-08,14.594164784749372,0.007985695924920341,99301.48958333333,4.700351808867104,166.9475933710734,345.4862429300944,1.661333428695798,0.12019999853509944,24
Greenwood Lake,2019-10-09,10.608332570393904,0.006480604274353634,99421.38313802083,5.631348903801654,69.44221198558807,324.4174982706706,0.0,0.06419999990612268,24
Greenwood Lake,2019-10-10,11.899166361490908,0.006537329250325759,99462.240234375,6.250031100707734,136.2692969640096,337.8608258565267,0.0,0.008399999875109643,24
Greenwood Lake,2019-10-11,12.064577992757185,0.0060116750925468905,99070.06510416667,6.192958330754235,124.55142084757487,335.5408299763997,0.0,0.0,24
Greenwood Lake,2019-10-12,13.232504781087263,0.007544641771043341,98546.35872395833,3.0874505559675285,162.03367455800375,345.91998799641925,0.0,0.0,24
Greenwood Lake,2019-10-13,13.773753102620466,0.006989250037198265,98615.93587239583,2.711631383231264,188.80180231730142,302.17041015625,0.0,0.0,24
Greenwood Lake,2019-10-14,12.744580841064476,0.006315133437359084,98389.52408854167,4.021796203685452,186.48446369171143,286.61999766031903,0.0,0.0,24
Greenwood Lake,2019-10-15,10.235009765625023,0.004886004258878529,98843.98470052083,3.079633281991738,185.28967380523682,266.1649913787842,0.0,0.0,24
Greenwood Lake,2019-10-16,10.376667277018251,0.006520645867567509,98131.671875,5.777987753834346,127.83508952458699,298.3608277638753,30.488001505533855,0.0,24
Greenwood Lake,2019-10-17,10.655422465006533,0.0069628334216152625,96150.2900390625,10.120645168821392,74.72708662350972,333.7058283487956,0.09866667228440444,0.0,24
Greenwood Lake,2019-10-18,9.042503611246767,0.005339279227579634,97643.58723958333,7.736292871337342,167.69625647862753,293.65082422892254,0.0,0.0,24
Greenwood Lake,2019-10-19,7.072501118977887,0.004744079216228177,98562.78678385417,3.017168007494081,178.3115111986796,254.3641586303711,0.0,0.0,24
Greenwood Lake,2019-10-20,9.183339691162132,0.005762220942415297,98568.66373697917,2.2964111525959723,70.02525299787521,300.84666124979657,0.0,0.059599998872727156,24
