OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-162-2,Albert Lake - 2,Lake,,02040302,,,,,39.5914970000,-74.8668810000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,001,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-164-1,Rainbow Lakes - 1,Lake,,02030103,,,,,40.8816670000,-74.4631390000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,027,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-165-1,Allamuchy Pond - 1,Lake,,02040105,,,,,40.9107910000,-74.8170750000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,041,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-165-2,Allamuchy Pond - 2,Lake,,02040105,,,,,40.9124100000,-74.8131990000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,041,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-167-1,Heritage Lakes - 1,Lake,,02020007,,,,,41.1429000000,-74.5636210000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,037,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-168-1,North Hudson Park Lake - 1,Lake,,02030101,,,,,40.8026060000,-73.9992610000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,017,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-169-1,Amphibious Lake - 1,Lake,,02040202,,,,,39.9954230000,-74.5993960000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,005,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-169-2,Amphibious Lake - 2,Lake,,02040202,,,,,39.9943150000,-74.5979420000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,005,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-170-1,Cains Mill Lake - 1,Lake,,02040302,,,,,39.6036930000,-74.8876010000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,015,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-170-2,Cains Mill Lake - 2,Lake,,02040302,,,,,39.6022180000,-74.8849640000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,015,,,,,,,,,,STORET
